from,to,Migration,year,gemeente fromnaamvolledig,provincie from
Súdwest.Fryslân,Appingedam,1,2011,Súdwest Fryslân,Friesland
Terschelling,Appingedam,0,2011,Terschelling,Friesland
Tynaarlo,Appingedam,2,2011,Tynaarlo,Drenthe
Tytsjerksteradiel,Appingedam,2,2011,Tytsjerksteradiel,Friesland
Veendam,Appingedam,3,2011,Veendam,Groningen
Vlagtwedde,Appingedam,1,2011,Vlagtwedde,Groningen
Vlieland,Appingedam,0,2011,Vlieland,Friesland
Waadhoeke,Appingedam,NA,2011,Waadhoeke,Friesland
Westerveld,Appingedam,1,2011,Westerveld,Drenthe
Westerwolde,Appingedam,NA,2011,Westerwolde,Groningen
Weststellingwerf,Appingedam,1,2011,Weststellingwerf,Friesland
Winsum,Appingedam,0,2011,Winsum,Groningen
De.Wolden,Appingedam,0,2011,De Wolden,Drenthe
Zuidhorn,Appingedam,5,2011,Zuidhorn,Groningen
Aa.en.Hunze,Assen,144,2011,Aa en Hunze,Drenthe
Achtkarspelen,Assen,1,2011,Achtkarspelen,Friesland
Ameland,Assen,0,2011,Ameland,Friesland
Appingedam,Assen,9,2011,Appingedam,Groningen
Assen,Assen,NA,2011,Assen,Drenthe
Bedum,Assen,4,2011,Bedum,Groningen
Bellingwedde,Assen,7,2011,Bellingwedde,Groningen
het.Bildt,Assen,2,2011,het Bildt,Friesland
Boarnsterhim,Assen,1,2011,Boarnsterhim,Friesland
Ten.Boer,Assen,7,2011,Ten Boer,Groningen
Borger.Odoorn,Assen,35,2011,Borger Odoorn,Drenthe
Coevorden,Assen,25,2011,Coevorden,Drenthe
Dantumadiel,Assen,0,2011,Dantumadiel,Friesland
Delfzijl,Assen,8,2011,Delfzijl,Groningen
Dongeradeel,Assen,1,2011,Dongeradeel,Friesland
Eemsmond,Assen,8,2011,Eemsmond,Groningen
Emmen,Assen,83,2011,Emmen,Drenthe
Ferwerderadiel,Assen,1,2011,Ferwerderadiel,Friesland
Franekeradeel,Assen,5,2011,Franekeradeel,Friesland
De.Friese.Meren,Assen,NA,2011,De Friese Meren,Friesland
De.Fryske.Marren,Assen,NA,2011,De Fryske Marren,Friesland
Gaasterlân.Sleat,Assen,1,2011,Gaasterlân Sleat,Friesland
Groningen,Assen,366,2011,Groningen,Groningen
Grootegast,Assen,6,2011,Grootegast,Groningen
Haren,Assen,28,2011,Haren,Groningen
Harlingen,Assen,0,2011,Harlingen,Friesland
Heerenveen,Assen,13,2011,Heerenveen,Friesland
Hoogeveen,Assen,65,2011,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Assen,35,2011,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Assen,2,2011,Kollumerland en Nieuwkruisland,Friesland
Leek,Assen,19,2011,Leek,Groningen
Leeuwarden,Assen,33,2011,Leeuwarden,Friesland
Leeuwarderadeel,Assen,1,2011,Leeuwarderadeel,Friesland
Lemsterland,Assen,0,2011,Lemsterland,Friesland
Littenseradiel,Assen,1,2011,Littenseradiel,Friesland
Loppersum,Assen,8,2011,Loppersum,Groningen
De.Marne,Assen,3,2011,De Marne,Groningen
Marum,Assen,10,2011,Marum,Groningen
Menameradiel,Assen,0,2011,Menameradiel,Friesland
Menterwolde,Assen,3,2011,Menterwolde,Groningen
Meppel,Assen,31,2011,Meppel,Drenthe
Midden.Drenthe,Assen,238,2011,Midden Drenthe,Drenthe
Midden.Groningen,Assen,NA,2011,Midden Groningen,Groningen
Noordenveld,Assen,87,2011,Noordenveld,Drenthe
Oldambt,Assen,43,2011,Oldambt,Groningen
Ooststellingwerf,Assen,54,2011,Ooststellingwerf,Friesland
Opsterland,Assen,5,2011,Opsterland,Friesland
Pekela,Assen,10,2011,Pekela,Groningen
Schiermonnikoog,Assen,0,2011,Schiermonnikoog,Friesland
Skarsterlân,Assen,1,2011,Skarsterlân,Friesland
Slochteren,Assen,8,2011,Slochteren,Groningen
