https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,Terschelling,5,4,0,0,1,0,1,0,4,0,3,1,0,0,0,0,0,2,4,,,0,14,3,0,13,0,3,0,1,0,41,0,1,2,0,0,0,4,0,0,1,,0,0,1,1,0,0,6,0,2,3,20,,0,3,0,0,0,,1,,0,0,0,1
,Tynaarlo,88,7,1,2,135,7,4,4,2,2,15,2,0,7,2,2,25,0,4,,,1,518,2,62,0,7,8,39,1,9,31,1,2,0,3,0,6,0,5,4,13,,70,18,16,9,1,0,4,11,5,9,6,2,,7,15,5,0,,5,,1,3,1,11
,Tytsjerksteradiel,0,63,1,2,1,5,0,14,28,0,0,1,72,3,29,0,5,14,11,,,0,85,10,1,10,31,1,4,16,12,296,4,2,10,0,1,0,9,0,0,5,,2,0,15,30,0,0,4,1,108,1,38,7,2,,3,18,1,,4,,6,1,1,6
,Veendam,32,3,0,3,25,3,18,0,0,0,12,6,0,10,0,1,20,2,1,,,0,198,1,7,0,2,9,47,0,9,17,0,0,0,2,2,1,0,89,0,4,,13,80,1,2,79,0,0,12,3,34,0,0,19,0,,14,0,,0,,0,2,9,3
,Vlagtwedde,10,0,0,1,16,0,34,0,0,7,20,9,0,14,1,1,94,0,3,,,1,89,0,1,0,0,7,13,2,2,10,0,0,0,1,2,1,0,11,0,5,,9,23,1,1,17,0,0,1,2,152,0,0,8,1,15,,0,,7,,0,3,0,1
,Vlieland,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,0,2,2,7,,,1,2,0,0,15,2,1,0,1,1,12,1,2,0,0,0,0,0,0,0,2,,0,0,4,5,0,0,0,0,1,0,6,1,7,0,0,0,,,1,,0,0,0,0
,Waadhoeke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westerveld,2,1,0,1,43,0,0,0,3,0,6,8,1,1,0,0,13,0,0,,,2,70,1,1,1,14,40,2,0,2,15,0,0,0,0,0,0,0,0,62,39,,3,1,15,4,1,0,1,0,8,1,6,1,17,1,2,13,0,,,,29,0,54,1
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weststellingwerf,4,7,0,1,4,0,2,3,15,0,1,3,2,1,1,2,11,0,7,,,2,58,0,1,6,86,5,3,2,7,52,1,8,3,1,0,3,2,1,5,1,,2,0,42,16,0,0,13,0,21,0,12,0,1,2,1,0,0,,40,,,0,4,0
,Winsum,0,2,1,0,12,29,1,0,1,5,0,2,0,13,0,31,1,0,0,,,0,189,8,5,1,0,1,11,0,5,14,4,0,0,10,45,0,0,1,1,4,,4,4,2,3,1,2,0,4,0,3,1,1,10,0,0,0,0,,1,,0,,2,31
,De Wolden,2,0,0,0,18,0,1,0,0,0,3,5,1,0,0,0,8,0,0,,,1,73,0,0,2,6,110,0,1,1,8,0,0,0,1,1,0,0,0,114,18,,2,1,0,0,2,0,0,0,2,3,2,1,1,0,1,3,0,,25,,1,0,,1
,Zuidhorn,1,5,0,5,22,4,1,0,0,1,0,0,0,2,0,4,5,0,3,,,0,290,45,8,0,5,1,3,23,40,16,0,0,0,2,13,15,0,1,0,2,,19,3,8,1,0,0,0,6,7,0,8,1,11,1,4,1,0,,0,,1,8,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
regio van aankomst,Aa en Hunze,,0,1,4,144,3,1,0,1,0,56,19,0,6,1,3,18,0,0,,,2,203,0,14,0,3,14,11,0,10,11,0,0,0,0,4,0,0,12,2,21,,14,8,7,2,5,0,0,3,1,68,3,2,79,1,52,7,0,,7,,3,0,2,2
,Achtkarspelen,0,,0,3,3,0,1,0,4,0,0,0,35,0,21,1,5,7,7,,,1,84,33,3,2,16,2,2,60,10,55,1,0,0,1,1,8,3,0,5,3,,4,0,9,26,0,4,0,2,135,0,16,2,1,90,3,0,1,,0,,6,0,0,9
,Ameland,0,0,,2,0,1,0,0,1,0,2,0,3,1,2,0,1,0,4,,,0,8,1,0,3,2,0,2,1,1,51,3,0,0,0,0,0,3,0,0,0,,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,,0,,0,0,1,0
,Appingedam,4,0,0,,0,5,1,0,0,5,1,1,0,156,0,8,2,0,0,,,0,92,1,6,1,3,1,12,1,6,10,0,0,0,28,3,4,0,0,0,8,,5,10,2,0,7,0,3,15,0,5,3,0,3,0,5,2,0,,1,,1,2,0,1
,Assen,135,3,8,8,,1,5,0,1,3,37,23,1,8,1,1,67,2,6,,,0,524,2,20,0,8,55,29,1,23,31,1,1,0,7,4,2,1,5,33,209,,114,17,44,3,11,4,1,4,9,12,11,0,101,3,28,15,5,,38,,1,2,17,6
